product_id,detected_at_utc,detected_at,detection_price,entry_price,target_price,stop_price,outcome,minutes_to_outcome,pnl_pct_after_fees,mfe_pct,mae_pct,rsi,macd_hist,source_file,notes
IP-USD,2025-08-30 23:29:00+00:00,1756596540,8.106,8.122212,8.5283226,7.878545639999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
POLS-USD,2025-08-30 23:29:06+00:00,1756596546,0.2182,0.2186364,0.22956822000000002,0.212077308,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
NCT-USD,2025-08-30 23:31:52+00:00,1756596712,0.02092,0.020961840000000002,0.022009932000000003,0.020332984800000002,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
POLS-USD,2025-08-30 23:35:04+00:00,1756596904,0.2223,0.2227446,0.23388182999999999,0.21606226199999998,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SUKU-USD,2025-08-30 23:36:51+00:00,1756597011,0.0362,0.0362724,0.038086020000000005,0.035184228000000005,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-30 23:43:00+00:00,1756597380,0.0845,0.08466900000000001,0.08890245000000001,0.08212893,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-30 23:47:01+00:00,1756597621,0.09388,0.09406776,0.098771148,0.0912457272,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
MNDE-USD,2025-08-30 23:47:06+00:00,1756597626,0.13336,0.13362672,0.14030805600000001,0.1296179184,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KEYCAT-USD,2025-08-30 23:53:00+00:00,1756597980,0.004489,0.004497978,0.0047228769,0.00436303866,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 00:01:00+00:00,1756598460,0.08887,0.08904774,0.093500127,0.0863763078,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PUMP-USD,2025-08-31 00:01:01+00:00,1756598461,0.003476,0.003482952,0.0036570996000000002,0.00337846344,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DRIFT-USD,2025-08-31 00:02:02+00:00,1756598522,0.632,0.633264,0.6649272,0.61426608,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
LPT-USD,2025-08-31 00:02:02+00:00,1756598522,7.18,7.19436,7.554078,6.9785292,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
CRO-USD,2025-08-31 00:03:00+00:00,1756598580,0.3124,0.3130248,0.32867604,0.303634056,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DRIFT-USD,2025-08-31 00:06:03+00:00,1756598763,0.639,0.640278,0.6722919,0.62106966,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SUKU-USD,2025-08-31 00:11:00+00:00,1756599060,0.0335,0.033567,0.03524535,0.03255999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
BONK-USD,2025-08-31 00:11:01+00:00,1756599061,2.276e-05,2.280552e-05,2.3945796e-05,2.21213544e-05,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
IP-USD,2025-08-31 00:15:05+00:00,1756599305,7.949,7.964898,8.3631429,7.72595106,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
XYO-USD,2025-08-31 00:16:49+00:00,1756599409,0.00986,0.009879720000000002,0.010373706000000002,0.0095833284,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KEYCAT-USD,2025-08-31 00:18:06+00:00,1756599486,0.004761,0.004770521999999999,0.005009048099999999,0.004627406339999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
IP-USD,2025-08-31 00:18:07+00:00,1756599487,8.198,8.214396,8.625115800000001,7.96796412,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
AURORA-USD,2025-08-31 00:18:27+00:00,1756599507,0.0802,0.0803604,0.08437842,0.077949588,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PYTH-USD,2025-08-31 00:19:06+00:00,1756599546,0.1926,0.1929852,0.20263446000000002,0.187195644,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
IP-USD,2025-08-31 00:22:00+00:00,1756599720,8.392,8.408783999999999,8.8292232,8.15652048,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
BERA-USD,2025-08-31 00:23:00+00:00,1756599780,2.706,2.711412,2.8469826000000005,2.63006964,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
